emln_id,train_layer,test_layer,prop_ones_removed,amount_of_removed_1,prop_zeros_removed,amount_of_removed_0,k,lambda,original_links,predicted_values,node_to,node_from
25,1,1,0.2,27,0.2,351,2,0.01,1,0,Hesperiinae_sp.,Stachytarpheta_linearis
25,1,1,0.2,27,0.2,351,2,0.01,1,19.62534048,Dialictus_(Chloralictus)_sp._1,Cuphea_ericoides
25,1,1,0.2,27,0.2,351,2,0.01,1,0.336547741,Cephalotes_pusillus,Lessingianthus_pycnostachyus
25,1,1,0.2,27,0.2,351,2,0.01,1,0.014976971,Xylocopa_sp._2,Aspilia_jolyana
25,1,1,0.2,27,0.2,351,2,0.01,1,-2.13E-16,Eullaema_nigrita,Aspilia_jolyana
25,1,1,0.2,27,0.2,351,2,0.01,1,0.35150818,Eupetomena_macroura,Vochysia_thyrsoidea
25,1,1,0.2,27,0.2,351,2,0.01,1,-6.92E-21,Chlorostilbon_lucidus,Hypenia_macrantha
25,1,1,0.2,27,0.2,351,2,0.01,1,8.966284926,Dialictus_(Chloralictus)_sp._1,Declieuxia_fruticosa
25,1,1,0.2,27,0.2,351,2,0.01,1,0,Deopalpus_sp.,Palicourea_rigida
25,1,1,0.2,27,0.2,351,2,0.01,1,0,Alticini_sp._1,Paepalanthus_bromelioides
25,1,1,0.2,27,0.2,351,2,0.01,1,0.016409083,Apis_mellifera,Rynchospora_consanguinea
25,1,1,0.2,27,0.2,351,2,0.01,1,0.865198571,Phoebis_sennae,Vochysia_thyrsoidea
25,1,1,0.2,27,0.2,351,2,0.01,1,0.109405502,Centris_(Hemisielaa)_tarsata,Ouratea_floribunda
25,1,1,0.2,27,0.2,351,2,0.01,1,7.103182947,Dialictus_(Chloralictus)_sp._1,Lessingianthus_pycnostachyus
25,1,1,0.2,27,0.2,351,2,0.01,1,0.076554283,Chlorostilbon_lucidus,Vochysia_thyrsoidea
25,1,1,0.2,27,0.2,351,2,0.01,1,0.265196687,Dialictus_(Chloralictus)_sp._1,Mimosa_sp.
25,1,1,0.2,27,0.2,351,2,0.01,1,0,Madopterini_sp.,Paepalanthus_bromelioides
25,1,1,0.2,27,0.2,351,2,0.01,1,-0.110228928,Trigona_spinipes,Vochysia_thyrsoidea
25,1,1,0.2,27,0.2,351,2,0.01,1,-1.015747349,Diptera_sp._2,Paepalanthus_bromelioides
25,1,1,0.2,27,0.2,351,2,0.01,1,0.000932339,Campsomeris_sp._1,Trigonia_cipoensis
25,1,1,0.2,27,0.2,351,2,0.01,1,0.09375752,Cephalotes_pusillus,Malpigaceae_sp.
25,1,1,0.2,27,0.2,351,2,0.01,1,-3.11E-16,Chlorostilbon_lucidus,Camptosema_isopetalum
25,1,1,0.2,27,0.2,351,2,0.01,1,1.01960023,Cerambycidae_sp.,Paepalanthus_bromelioides
25,1,1,0.2,27,0.2,351,2,0.01,1,0.032805287,Augochloropsis_sp._1,Aspilia_jolyana
25,1,1,0.2,27,0.2,351,2,0.01,1,-5.33E-16,Camponotus_crassus,Aspilia_jolyana
25,1,1,0.2,27,0.2,351,2,0.01,1,0,Deopalpus_sp.,Paepalanthus_bromelioides
25,1,1,0.2,27,0.2,351,2,0.01,1,-2.74E-17,Coelioxys_sp.,Cuphea_ericoides
25,1,1,0.2,27,0.2,351,2,0.01,0,0.040698042,Elateridae_sp._1,Richterago_arenaria
25,1,1,0.2,27,0.2,351,2,0.01,0,0.01025794,Megachile_sp.,Solanum_sp.
25,1,1,0.2,27,0.2,351,2,0.01,0,-0.025855115,Augochlora_(Oxystoglossella)_sp._2,Myrcia_guianensis
25,1,1,0.2,27,0.2,351,2,0.01,0,0.013190493,Megachile_(Moureapis)_cf_anthidioides,Turnera_hilaireana
25,1,1,0.2,27,0.2,351,2,0.01,0,-10.48273597,Megachile_(Pseudocentron)_sp._2,Paepalanthus_bromelioides
25,1,1,0.2,27,0.2,351,2,0.01,0,0.005452195,Cephalotes_pusillus,Solanum_sp.
25,1,1,0.2,27,0.2,351,2,0.01,0,-0.249881934,Neodexiopsis_sp.,Cuphea_ericoides
25,1,1,0.2,27,0.2,351,2,0.01,0,-8.628310379,Bombus_pauloensis,Paepalanthus_bromelioides
25,1,1,0.2,27,0.2,351,2,0.01,0,0.593897133,Ceratina_(Crewella)_asuncionis,Stachytarpheta_linearis
25,1,1,0.2,27,0.2,351,2,0.01,0,-0.508594631,Toxophorinae_sp._2,Aspilia_jolyana
25,1,1,0.2,27,0.2,351,2,0.01,0,0.0242762,Megachile_(Pseudocentron)_sp._2,Convolvulacea_sp.
25,1,1,0.2,27,0.2,351,2,0.01,0,0.000197723,Protomydas_sp.,Solanum_sp.
25,1,1,0.2,27,0.2,351,2,0.01,0,-2.20E-18,Eullaema_nigrita,Solanum_sp.
25,1,1,0.2,27,0.2,351,2,0.01,0,0.018740061,Cauliognathini_sp._1,Convolvulacea_sp.
25,1,1,0.2,27,0.2,351,2,0.01,0,1.9240001198454e-17,Chilicola_(Prosopoides)_sp.,Camptosema_isopetalum
25,1,1,0.2,27,0.2,351,2,0.01,0,1.4661665262959e-21,Trichodes_sp.,Hypenia_macrantha
