"","f1_score","distance_km","avg_sorensen_plants","avg_sorensen_pollinators","jaccard_pollinators","jaccard_plants","jaccard_edges","size_P","density_P","size_C","density_C"
"f1_score",1,0.184231688905197,0.329312635410604,-0.0522526469854078,-0.0107108429660455,0.0181259506756148,-0.062284497817876,0.295640797509739,-0.231237119491802,0.0984310595417642,-0.173328856404462
"distance_km",0.184231688905197,1,0.00762052560026594,0.02063604224219,-0.502579667889463,-0.529947784920289,-0.572549484745274,-0.145301419639765,0.0396106002324912,0.231116913718592,-0.205688090345637
"avg_sorensen_plants",0.329312635410604,0.00762052560026594,1,-0.0116266172189127,0.0485310037785047,0.0864362571569467,0.0353709775112803,0.617058308202923,-0.867263220746129,0.216025361311871,-0.372836295884638
"avg_sorensen_pollinators",-0.0522526469854078,0.02063604224219,-0.0116266172189127,1,-0.0193502488827113,-0.0223297792860323,-0.0301667758700663,0.0167356943545577,-0.0201889798740758,0.0314273718259155,-0.018306726429853
"jaccard_pollinators",-0.0107108429660455,-0.502579667889463,0.0485310037785047,-0.0193502488827113,1,0.915641729582225,0.986068925924168,0.0495801931157378,-0.0322442178472385,-0.721365377936229,0.58810610919705
"jaccard_plants",0.0181259506756148,-0.529947784920289,0.0864362571569467,-0.0223297792860323,0.915641729582225,1,0.919820901767786,0.102448802822944,-0.0555605394867254,-0.697559896434758,0.627199837373119
"jaccard_edges",-0.062284497817876,-0.572549484745274,0.0353709775112803,-0.0301667758700663,0.986068925924168,0.919820901767786,1,0.0298770720075192,-0.0245411539869808,-0.725299326977553,0.571307833535816
"size_P",0.295640797509739,-0.145301419639765,0.617058308202923,0.0167356943545577,0.0495801931157378,0.102448802822944,0.0298770720075192,1,-0.82069819349375,0.395468832750321,-0.360911808702615
"density_P",-0.231237119491802,0.0396106002324912,-0.867263220746129,-0.0201889798740758,-0.0322442178472385,-0.0555605394867254,-0.0245411539869808,-0.82069819349375,1,-0.348245341453208,0.489300645176589
"size_C",0.0984310595417642,0.231116913718592,0.216025361311871,0.0314273718259155,-0.721365377936229,-0.697559896434758,-0.725299326977553,0.395468832750321,-0.348245341453208,1,-0.84321195631929
"density_C",-0.173328856404462,-0.205688090345637,-0.372836295884638,-0.018306726429853,0.58810610919705,0.627199837373119,0.571307833535816,-0.360911808702615,0.489300645176589,-0.84321195631929,1
