emln_id,train_layer,test_layer,nrow_A,ncol_A,size_A,density_A,nrow_P,ncol_P,size_P,density_P,nrow_C,ncol_C,size_C,density_C
60,1,1,35,13,455,0.15824175824175823,35,13,455,0.15824175824175823,35,13,455,0.15824175824175823
60,1,2,35,13,455,0.15824175824175823,45,18,810,0.11851851851851852,59,19,1121,0.11953612845673506
60,1,3,35,13,455,0.15824175824175823,54,13,702,0.13675213675213677,74,17,1258,0.12082670906200318
60,1,4,35,13,455,0.15824175824175823,38,15,570,0.1280701754385965,62,20,1240,0.10564516129032259
60,1,5,35,13,455,0.15824175824175823,35,10,350,0.1657142857142857,58,17,986,0.1206896551724138
60,1,6,35,13,455,0.15824175824175823,35,10,350,0.2257142857142857,60,16,960,0.14479166666666668
60,1,7,35,13,455,0.15824175824175823,38,8,304,0.1875,67,17,1139,0.10974539069359086
60,2,1,45,18,810,0.11851851851851852,35,13,455,0.15824175824175823,59,19,1121,0.11953612845673506
60,2,2,45,18,810,0.11851851851851852,45,18,810,0.11851851851851852,45,18,810,0.11851851851851852
60,2,3,45,18,810,0.11851851851851852,54,13,702,0.13675213675213677,80,21,1680,0.10476190476190476
60,2,4,45,18,810,0.11851851851851852,38,15,570,0.1280701754385965,68,24,1632,0.09313725490196079
60,2,5,45,18,810,0.11851851851851852,35,10,350,0.1657142857142857,65,22,1430,0.0993006993006993
60,2,6,45,18,810,0.11851851851851852,35,10,350,0.2257142857142857,65,20,1300,0.12615384615384614
60,2,7,45,18,810,0.11851851851851852,38,8,304,0.1875,76,22,1672,0.08851674641148326
60,3,1,54,13,702,0.13675213675213677,35,13,455,0.15824175824175823,74,17,1258,0.12082670906200318
60,3,2,54,13,702,0.13675213675213677,45,18,810,0.11851851851851852,80,21,1680,0.10476190476190476
60,3,3,54,13,702,0.13675213675213677,54,13,702,0.13675213675213677,54,13,702,0.13675213675213677
60,3,4,54,13,702,0.13675213675213677,38,15,570,0.1280701754385965,68,16,1088,0.12775735294117646
60,3,5,54,13,702,0.13675213675213677,35,10,350,0.1657142857142857,71,18,1278,0.11267605633802817
60,3,6,54,13,702,0.13675213675213677,35,10,350,0.2257142857142857,71,17,1207,0.13421706710853357
60,3,7,54,13,702,0.13675213675213677,38,8,304,0.1875,81,16,1296,0.11419753086419752
60,4,1,38,15,570,0.1280701754385965,35,13,455,0.15824175824175823,62,20,1240,0.10564516129032259
60,4,2,38,15,570,0.1280701754385965,45,18,810,0.11851851851851852,68,24,1632,0.09313725490196079
60,4,3,38,15,570,0.1280701754385965,54,13,702,0.13675213675213677,68,16,1088,0.12775735294117646
60,4,4,38,15,570,0.1280701754385965,38,15,570,0.1280701754385965,38,15,570,0.1280701754385965
60,4,5,38,15,570,0.1280701754385965,35,10,350,0.1657142857142857,56,20,1120,0.10803571428571429
60,4,6,38,15,570,0.1280701754385965,35,10,350,0.2257142857142857,56,19,1064,0.13439849624060152
60,4,7,38,15,570,0.1280701754385965,38,8,304,0.1875,67,18,1206,0.10364842454394693
60,5,1,35,10,350,0.1657142857142857,35,13,455,0.15824175824175823,58,17,986,0.1206896551724138
60,5,2,35,10,350,0.1657142857142857,45,18,810,0.11851851851851852,65,22,1430,0.0993006993006993
60,5,3,35,10,350,0.1657142857142857,54,13,702,0.13675213675213677,71,18,1278,0.11267605633802817
60,5,4,35,10,350,0.1657142857142857,38,15,570,0.1280701754385965,56,20,1120,0.10803571428571429
60,5,5,35,10,350,0.1657142857142857,35,10,350,0.1657142857142857,35,10,350,0.1657142857142857
60,5,6,35,10,350,0.1657142857142857,35,10,350,0.2257142857142857,50,12,600,0.18166666666666667
60,5,7,35,10,350,0.1657142857142857,38,8,304,0.1875,65,14,910,0.12197802197802197
60,6,1,35,10,350,0.2257142857142857,35,13,455,0.15824175824175823,60,16,960,0.14479166666666668
60,6,2,35,10,350,0.2257142857142857,45,18,810,0.11851851851851852,65,20,1300,0.12615384615384614
60,6,3,35,10,350,0.2257142857142857,54,13,702,0.13675213675213677,71,17,1207,0.13421706710853357
60,6,4,35,10,350,0.2257142857142857,38,15,570,0.1280701754385965,56,19,1064,0.13439849624060152
60,6,5,35,10,350,0.2257142857142857,35,10,350,0.1657142857142857,50,12,600,0.18166666666666667
60,6,6,35,10,350,0.2257142857142857,35,10,350,0.2257142857142857,35,10,350,0.2257142857142857
60,6,7,35,10,350,0.2257142857142857,38,8,304,0.1875,65,14,910,0.14395604395604394
60,7,1,38,8,304,0.1875,35,13,455,0.15824175824175823,67,17,1139,0.10974539069359086
60,7,2,38,8,304,0.1875,45,18,810,0.11851851851851852,76,22,1672,0.08851674641148326
60,7,3,38,8,304,0.1875,54,13,702,0.13675213675213677,81,16,1296,0.11419753086419752
60,7,4,38,8,304,0.1875,38,15,570,0.1280701754385965,67,18,1206,0.10364842454394693
60,7,5,38,8,304,0.1875,35,10,350,0.1657142857142857,65,14,910,0.12197802197802197
60,7,6,38,8,304,0.1875,35,10,350,0.2257142857142857,65,14,910,0.14395604395604394
60,7,7,38,8,304,0.1875,38,8,304,0.1875,38,8,304,0.1875
