"","node_to","mean_sorensen_pollinators"
"1","Agromyzidae_sp_1",0
"2","Agromyzidae_sp_2",NA
"3","Alliophleps_elliptica",NA
"4","Amegilla_canifrons",NA
"5","Amegilla_quadrifasciata",0.305555555555556
"6","Amegilla_sp",NA
"7","Ammophila_terminata",NA
"8","Anaspis_cf_canariensis",NA
"9","Anaspis_cf_eversi",NA
"10","Anaspis_cf_saharensis",NA
"11","Anaspis_proteus",0.422222222222222
"12","Andrena_vachali",NA
"13","Andrena_vulcana",NA
"14","Andrena_wollastoni",NA
"15","Anthaxia_sp_1",NA
"16","Anthophora_alluaudi",0.193809523809524
"17","Anthophora_orotavae",0.111111111111111
"18","Anthophora_sp_1",NA
"19","Anthophora_sp_aff_orotavae",NA
"20","Aphthona_wachnitzae",NA
"21","Apis_mellifera",0.168013468013468
"22","Aplocnemus_sp_2",NA
"23","Aprostocetus_occidentalis",0.4
"24","Aprostocetus_sp_1",NA
"25","Aprostocetus_sp_2",NA
"26","Arachnospila_sp",NA
"27","Araneae_sp_1",NA
"28","Araneidae_sp_1",NA
"29","Araneidae_sp_2",NA
"30","Asteia_caesia",NA
"31","Atherigona_varia",NA
"32","Attagenus_abbreviatus",NA
"33","Attagenus_sp_1",NA
"34","Attagenus_wollastoni",0.4
"35","Attalus_chrysanthemi",NA
"36","Attalus_crispus",NA
"37","Attalus_obscurus",NA
"38","Attalus_olivensis",NA
"39","Attalus_pallipes",NA
"40","Attalus_ruficollis",NA
"41","Attalus_rugifrons",NA
"42","Aulacoderus_canariensis",0
"43","Axinotarsus_sp_1",NA
"44","Bassus_sp",NA
"45","Blaesoxipha_sp_1",0
"46","Bombylius_pintuarius",NA
"47","Bombylius_sp_1",NA
"48","Bracon_sp",1
"49","Bruchidius_wollastoni",NA
"50","Campiglossa_martii",NA
"51","Campiglossa_reticulata",NA
"52","Camponotus_cfr_feae",NA
"53","Camponotus_feae",0.332379165947117
"54","Cecidomyiidae_sp",NA
"55","Cecydomyiidae_sp",NA
"56","Cephalodromia_sp",0
"57","Ceratogoponidae_sp",0
"58","Ceratogoponidae_sp_2",NA
"59","Chalicodoma_canescens",0
"60","Chalicodoma_sicula",0
"61","Chalicodoma_sp",NA
"62","Chetogena_acuminata",0.0666666666666667
"63","Chironomidae_sp",NA
"64","Chironomidae_sp_1",NA
"65","Chloropidae_sp",0
"66","Chloropidae_sp_1",NA
"67","Chloropidae_sp_2",1
"68","Chloropidae_sp_3",NA
"69","Chloropidae_sp_4",0
"70","Chloropidae_sp_5",0
"71","Chloropidae_sp_6",NA
"72","Chrysomya_albiceps",0.13
"73","Coccinella_miranda",0
"74","Coleoptera_sp_5",NA
"75","Colias_croceus",NA
"76","Colletes1_Waiting_85",NA
"77","Colletes2_Waiting_85",NA
"78","Colletes_dimidiatus",0
"79","Crematogaster_alluaudi",NA
"80","Crematogaster_scutellaris",NA
"81","Cryptocephalus_gounellei",NA
"82","Cryptocephalus_nitidicollis",NA
"83","Cryptocephalus_nubigena",NA
"84","Curculionidae_sp",NA
"85","Dasytes_cf_subaenescens",NA
"86","Dasytes_lanzarotensis",NA
"87","Dasytes_subaenescens",0.49047619047619
"88","Delia_flavibasis",NA
"89","Diglyphus_chabrias",NA
"90","Dilophus_hiemalis",NA
"91","Dinarmoides_spilopterus",0.5
"92","Dischistus_atlanticus",NA
"93","Elasmus_platyedrae",NA
"94","Empididae_sp_1",0
"95","Empis_sp_1",NA
"96","Eristalinus_aeneus",1
"97","Eristalinus_taeniops",0.222222222222222
"98","Eristalis_tenax",0
"99","Estheria_simonyi",0.333333333333333
"100","Eucera_gracilipes",0.266666666666667
"101","Euderus_sp",0.777777777777778
"102","Eumerus_latitarsis",0.511111111111111
"103","Eumerus_nivariae",NA
"104","Eupelmus_sp",0
"105","Eupelmus_testaceiventris",NA
"106","Eurytoma_sp_1",0
"107","Eurytoma_sp_2",0
"108","Eurytoma_sp_3",NA
"109","Exetastes_segmentarius",NA
"110","Exhyalanthrax_canarionae",NA
"111","Fannia_sp",NA
"112","Gasteruption_sp",NA
"113","Geometridae_sp",NA
"114","Geometridae_sp_2",NA
"115","Gnaphosidae_sp_1",NA
"116","Goniozus_sp",NA
"117","Halictus_fulvipes",NA
"118","Holepyris_sp",NA
"119","Hylaeus_ater",NA
"120","Hylaeus_hohmanni",NA
"121","Hylaeus_sp",NA
"122","Hym_Waiting_85",NA
"123","Lasioglossum_arctifrons",NA
"124","Lasioglossum_loetum",0.126623376623377
"125","Lasioglossum_phoenicurum",NA
"126","Lasioglossum_viride",0.343053613053613
"127","Leptochilus_cruentatus",NA
"128","Leptochilus_eatoni",0
"129","Leptochilus_fortunatus",NA
"130","Linnaemyia_soror",NA
"131","Lucilia_sericata",0.107936507936508
"132","Lucilia_sp_1",NA
"133","Macrocoma_cf_henoni",NA
"134","Macrocoma_splendens",NA
"135","Macroglossum_stellatarum",NA
"136","Malthinus_mutabilis",NA
"137","Megachile_canariensis",0
"138","Megaselia_sp_1",NA
"139","Megaselia_sp_2",NA
"140","Melecta_curvispina",NA
"141","Melecta_sp",NA
"142","Meligethes_canariensis",NA
"143","Meligethes_cf_canariensis",NA
"144","Milichiidae_sp",NA
"145","Minotetrastichus_sp",NA
"146","Monomorium_subopacum",NA
"147","Mordellistena_cf_canariensis",NA
"148","Musca_domestica",0.14
"149","Musca_osiris",0
"150","Musca_sorbens",NA
