emln_id,train_layer,test_layer,TP,FN,TN,FP,specificity,precision,recall,f1_score,balanced_accuracy,mcc,mse,rmse,nse,nnse
60,1,1,10.16,3.84,9.3,4.7,0.6642857142857143,0.6882018345002091,0.7257142857142858,0.7026146315775365,0.695,0.3951066877264312,53.486883702765475,7.0329619370232095,-1.498431932095187,0.42347552069149574
60,1,2,9.06,2.94,7.12,4.88,0.5933333333333334,0.6581370070847625,0.755,0.6988501090763847,0.6741666666666667,0.3574265492728813,76.73124121258269,8.50587429069306,-1.038000095596983,0.45431318813177485
60,1,3,6.15,2.85,4.92,4.08,0.5466666666666666,0.6098516206016206,0.6833333333333333,0.6392585274314982,0.615,0.23400909095534383,44.705490305620664,6.263808517761106,-2.528249352716423,0.36275326805913394
60,1,4,3.89,4.11,5.15,2.85,0.64375,0.5875818903318903,0.48625,0.5217949832245498,0.565,0.13750230256152024,65.97670174158591,7.661329417183444,-12.557142447839484,0.3219274521250645
60,1,5,2.66,2.34,2.46,2.54,0.492,0.519813492063492,0.532,0.5215290378555685,0.512,0.021687100628532265,209.11290884363166,13.048764875551816,-6.544246075462313,0.40834515263274573
60,1,6,4.78,2.22,4.13,2.87,0.59,0.6344404761904762,0.6828571428571428,0.647290876478183,0.6364285714285713,0.2841984908888399,152.39174125097608,11.276995269268042,-11.16794397535556,0.34081489269934107
60,1,7,1.08,0.92,0.85,1.15,0.425,0.48596491228070177,0.54,0.60375,0.4825,-0.04019494684482726,159.1478519280197,10.335040667294576,-34.9016643198355,0.1824313953816072
60,2,1,8.45,2.55,5.95,5.05,0.5409090909090909,0.6311070466341364,0.7681818181818182,0.6883824988125785,0.6545454545454545,0.3224754012822904,55.15317707467278,7.1200727696955575,-0.26828748397471797,0.48501492482365804
60,2,2,10.87,8.13,13.63,5.37,0.7173684210526315,0.6742335707919905,0.5721052631578947,0.612928669432197,0.6447368421052632,0.29667405539086433,57.86132205480977,7.344718643743142,-0.458919037960431,0.47250488618751496
60,2,3,6.79,3.21,5.93,4.07,0.593,0.6366758184625831,0.679,0.6484122518420742,0.636,0.28013510344243087,31.054266457015594,5.180761878175532,-2.042518003741017,0.38519574253665084
60,2,4,4.6,4.4,6.2,2.8,0.6888888888888889,0.6301702741702742,0.5111111111111111,0.5533592134559627,0.6,0.2092209996362266,58.70005264083692,7.262907144613775,-5.815868162080323,0.39028941462838446
60,2,5,3.1,2.9,3.8,2.2,0.6333333333333333,0.6028174603174603,0.5166666666666666,0.5369209124209124,0.575,0.1640634093366379,173.36258879111318,11.964933142100087,-2.1599394790456015,0.4399348940731919
60,2,6,4,4,5.49,2.51,0.68625,0.6235472582972583,0.5,0.5512130807866805,0.593125,0.19392276045445322,122.3106560863772,9.659254078606065,-5.620302679190291,0.38001236311307346
60,2,7,0.58,1.42,1.37,0.63,0.685,0.4861111111111111,0.29,0.5888888888888889,0.4875,-0.038479588838998276,161.91514669179898,9.635127413908142,-42.690000745505394,0.20791413838365463
