emln_id,train_layer,test_layer,TP,FN,TN,FP,specificity,precision,recall,f1_score,balanced_accuracy,mcc,mse,rmse,nse,nnse
60,1,1,10.92,3.08,7.54,6.46,0.5385714285714286,0.6315209358065396,0.78,0.6953393568045076,0.6592857142857143,0.3314585385355125,55.38122791928249,7.189500781966794,-0.5430026345553352,0.47663169440511405
60,1,2,9.66,4.34,8.04,5.96,0.5742857142857143,0.6277459312273553,0.69,0.6519069739172206,0.6321428571428571,0.2700612023507177,66.1933568907835,7.674016338655924,-2.2882024167382036,0.4996004912117636
60,1,3,10.5,5.5,9.6,6.4,0.6,0.6239715404134909,0.65625,0.6340489562894549,0.628125,0.26048266622447364,45.13344064120895,6.3874473789753665,-1.480979471987329,0.3924188469793893
60,1,4,5.84,4.16,5.28,4.72,0.528,0.5564774669774669,0.584,0.5661986989872573,0.5559999999999999,0.11284782820713286,50.311944570880364,6.1476453567746,-11.723408186312334,0.46667298182838757
60,1,5,4.26,3.74,4.56,3.44,0.57,0.5632569652569652,0.5325,0.5387759028037666,0.55125,0.10728861395532228,179.00122891817182,12.167349885840684,-34.50762327499991,0.35174192605341403
60,1,6,6.32,3.68,5.52,4.48,0.552,0.590992784992785,0.632,0.6039743973589713,0.592,0.18936107560880985,114.16594467319995,9.239306967727224,-2.7838374035534943,0.44454414415169835
60,1,7,5.66,3.34,4.82,4.18,0.5355555555555556,0.5896245976245976,0.6288888888888888,0.5975660382452683,0.5822222222222222,0.17162259708850394,123.3564886633272,9.653034820163393,-11.51043363393666,0.3495234400181025
60,2,1,11.08,2.92,7.38,6.62,0.5271428571428571,0.6295778903310536,0.7914285714285715,0.6983753779713997,0.6592857142857143,0.3347931188552321,53.08872993041668,6.970442044725746,-1.2711704507010915,0.4738198937483402
60,2,2,13.54,5.46,10.66,8.34,0.5610526315789474,0.622753252531745,0.7126315789473684,0.6619002148901021,0.6368421052631579,0.2790276936315347,51.41993851688726,6.929613542389235,-1.0341432765769834,0.43262992511086623
60,2,3,10.68,5.32,9.4,6.6,0.5875,0.6222153647006589,0.6675,0.640621701984619,0.6275,0.25846720379263377,48.550332846441066,6.4806211506987585,-1.3046050631135264,0.40240852133792837
60,2,4,6.28,3.72,6,4,0.6,0.6147195027195027,0.628,0.6163440248299583,0.614,0.23240842915083687,65.0824037974225,7.229471194510063,-6.854216829010747,0.4686259769700423
60,2,5,4.14,3.86,4.44,3.56,0.555,0.5443080808080808,0.5175,0.5211786770161383,0.53625,0.07693142048794217,162.4364748171662,10.819549771019908,-9.302820395437868,0.4193634268843118
60,2,6,6.84,4.16,7.74,3.26,0.7036363636363636,0.6776666389166389,0.6218181818181818,0.6407272888227121,0.6627272727272727,0.3326244776220223,66.2138285258302,7.074680159764253,-4.356745672684488,0.372260135455077
60,2,7,5.105263157894737,3.8947368421052633,4.631578947368421,4.368421052631579,0.5146198830409356,0.5522328548644339,0.5672514619883041,0.5487985861295296,0.5409356725146198,0.0882139472375249,73.76371958962618,7.025862587402343,-6.460528992557209,0.29038741358543096
60,3,1,10.02,1.98,6.74,5.26,0.5616666666666666,0.6600313903502758,0.835,0.7341711323057601,0.6983333333333334,0.41721676906126764,49.4203334756492,6.8203234719992505,-0.4254007402389291,0.4854374173187255
60,3,2,8.54,3.46,6.56,5.44,0.5466666666666666,0.615517488445507,0.7116666666666667,0.656650915455123,0.6291666666666667,0.2639385914254184,72.09390370087256,7.933318928099665,-1.3393641870007347,0.44256446381529774
60,3,3,12.64,6.36,12.36,6.64,0.6505263157894736,0.6589291714230939,0.6652631578947368,0.6572430044307497,0.6578947368421052,0.3206103397753022,28.63901793084185,4.959166628565345,-0.5439464570204495,0.43853878306514577
60,3,4,8.36,3.64,6.54,5.46,0.545,0.612746359849301,0.6966666666666667,0.6460880321688418,0.6208333333333333,0.2501715545429907,50.255954454786874,6.48193757774984,-2.261992565457772,0.48455241953908074
60,3,5,4.06,2.94,4.14,2.86,0.5914285714285714,0.5894134199134199,0.58,0.5678230364406834,0.5857142857142856,0.17997915244647414,147.78056628541393,10.234737238465188,-21.64594444770878,0.4049255331851557
60,3,6,5.5,3.5,5.02,3.98,0.5577777777777778,0.5812758352758353,0.611111111111111,0.5867215452216529,0.5844444444444444,0.1751893121250037,67.58450217882574,6.793169067749061,-4.7834752049744385,0.33854350732993876
60,3,7,5.58,3.42,4.92,4.08,0.5466666666666666,0.591954535660418,0.62,0.5950817760782763,0.5833333333333334,0.17247934597973422,112.71910157950857,8.36926388394781,-8.606005185514674,0.3907730899271924
60,4,1,6.86,3.14,5.78,4.22,0.578,0.6302302697302697,0.6859999999999999,0.6502676564502786,0.632,0.27104561605368477,59.84390997899037,7.216027728741559,-4.478310625536836,0.4777627910363799
