species,family,clade
Argyranthemum_frutescens,Asteraceae,Asterids
Argyranthemum_sp,Asteraceae,Asterids
Asparagus_pastorianus,1,
Asphaltklee_bituminosa,1,
Ceballosia_fruticosa,1,
Ceropegia_dichotoma,1,
Ceropegia_fusca,1,
Euphorbia_balsamifera_f,1,
Euphorbia_balsamifera_m,1,
Euphorbia_lamarckii,1,
Euphorbia_regis_jubae,1,
Fagonia_albiflora,12,
Frankenia_laevis,12,
Helianthemum_canariensis,12,
Kickxia_heterophylla,12,
Kickxia_scoparia,12,
Launaea_arborescens,12,
Lavendula_buchii,12,
Lavendula_minutolii,12,
Lavendula_multifida,12,
Lotus_glaucus,12,
Lotus_lancerottensis,12,
Lotus_sessilifolius,23,
Lotus_sp,23,
Lotus_spartioides,23,
Lycium_intricatum,23,
Nauplius_aquaticus,23,
Nauplius_sp,23,
Neochamaelea_pulverulenta,23,
Parolinia_intermedia,23,
Periploca_laevigata,23,
Phagnalon_purpurascens,23,
Phagnalon_saxatile,23,
Plocama_pendula,34,
Rubia_fruticosa,34,
Salvia_aegyptiaca,34,
Satureja_kuegleri,34,
Schizogyne_sericea,34,
Zilla_spinosa,34,
