"train_layer","test_layer","threshold","f05","f1","mcc","train_layer_name","test_layer_name","jaccard_pollinators","jaccard_plants","jaccard_edges","distance_km","layer_comparison"
1,1,0.3,0.645755837552514,0.74385474003009,NA,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.325,0.645755837552514,0.74385474003009,NA,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.35,0.645755837552514,0.74385474003009,NA,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.375,0.645755837552514,0.74385474003009,NA,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.4,0.645755837552514,0.74385474003009,NA,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.425,0.645755837552514,0.74385474003009,NA,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.45,0.645755837552514,0.74385474003009,NA,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.475,0.645755837552514,0.74385474003009,NA,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.5,0.646968826611386,0.733668795115736,0.049829987783871,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.525,0.650990859091862,0.735336999741313,0.0775243824429728,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.55,0.655823003958473,0.737496730906561,0.105522428014627,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.575,0.658097121522045,0.736474624020204,0.115681768899521,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.6,0.661513479244273,0.736915450200526,0.129924782862906,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.625,0.666153884597741,0.739022460840858,0.150291923545607,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.65,0.668722842080496,0.739048908148056,0.162855698215888,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.675,0.671240727955623,0.739012280669458,0.173429384831964,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.7,0.674261084923761,0.738837038826777,0.184150009623602,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.725,0.673745094918074,0.733412086389658,0.183100332827026,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.75,0.677012153343561,0.730324447486261,0.193921095196184,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.775,0.687576412653787,0.733136148914583,0.230545764641609,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,1,0.8,0.696500480746246,0.734173267556575,0.256409688004907,"Tenerife Teno","Tenerife Teno",1,1,1,0,"Single location"
1,2,0.3,0.65796177522418,0.754272550355051,NA,"Tenerife Teno","Tenerife South",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
1,2,0.325,0.65796177522418,0.754272550355051,NA,"Tenerife Teno","Tenerife South",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
1,2,0.35,0.65796177522418,0.754272550355051,NA,"Tenerife Teno","Tenerife South",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
1,2,0.375,0.65796177522418,0.754272550355051,NA,"Tenerife Teno","Tenerife South",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
